Exchange,Stock,Stock_Name,Sector,Market_Cap,Weight_per
ASX,14D,1414 Degrees Limited,Industrials,46942600,0.002
ASX,1ST,1ST Group Limited,Health Care,6827180,0
ASX,3PL,3P Learning Limited,Consumer Discretionary,175561000,0.008
ASX,4DS,4DS Memory Limited,Information Technology,59524700,0.003
ASX,5GN,5G Networks Limited,Telecommunication Services,16092300,0.001
ASX,88E,88 Energy Limited,Energy,116995000,0.005
ASX,8CO,8COMMON Limited,Information Technology,5854460,0
ASX,8IH,8I Holdings Limited Chess Depositary Interests 1:1,Financials,47260400,0.002
ASX,8EC,8IP Emerg Co Limited,,34865400,0.002
ASX,9SP,9 Spokes Int Limited,Information Technology,9905420,0
ASX,ACB,A-Cap Resources,Energy,50569300,0.002
ASX,ABP,Abacus Property Group Units/ Stapled Securities,Real Estate,1977100000,0.093
ASX,ABL,Abilene Oil & Gas,Energy,795229,0
ASX,AEG,Absolute Equity Perf,,123036000,0.006
ASX,ABT,Abundant Produce Limited,Consumer Staples,9883350,0
ASX,ACS,Accent Resources NL,Materials,1448000,0
ASX,ACQ,Acorn Cap INV Fund,,66152800,0.003
ASX,ACF,Acrow Formwork,Industrials,94747100,0.004
ASX,ACR,ACRUX Limited,Health Care,36634800,0.002
ASX,ACW,Actinogen Medical,Health Care,55599900,0.003
ASX,AIV,Activex Limited,Materials,31901100,0.001
ASX,ADA,Adacel Technologies,Information Technology,135175000,0.006
ASX,ADH,Adairs Limited,Consumer Discretionary,431274000,0.02
ASX,1AD,Adalta Limited,Health Care,31453300,0.001
ASX,ADD,Adavale Resource Limited,Energy,804430,0
ASX,AAU,Adcorp Australia,Consumer Discretionary,1638270,0
ASX,ABC,Adelaide Brighton,Materials,4020770000,0.188
ASX,ADR,Adherium Limited,Health Care,14116200,0.001
ASX,AHZ,Admedus Limited,Health Care,47640000,0.002
ASX,ADY,Admiralty Resources,Materials,17311700,0.001
ASX,ADT,Adriatic Metals Chess Depositary Interests 1:1,Materials,39135600,0.002
ASX,ADJ,Adslot Limited,Information Technology,67116300,0.003
ASX,ABV,ADV Braking Tech Limited,Consumer Discretionary,5930990,0
