code,name,description,refreshed_at,from_date,to_date
100033,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Equity Advantage Fund - Regular Growth,ISIN Div Payout/ ISIN Growth: INF209K01165,2018-10-03 11:01:17,2016-08-30,2018-10-01
100034,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Equity Advantage Fund -Regular Dividend,ISIN Div Payout/ ISIN Growth: INF209K01157<br><br>ISIN Div Reinvestment: INF209K01CE5,2018-10-03 11:01:17,2016-08-30,2018-10-01
100037,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Income Fund - Quarterly Dividend - Regular Plan,ISIN Div Payout/ ISIN Growth: INF209K01587<br><br>ISIN Div Reinvestment: INF209K01CY3,2018-10-03 11:01:08,2016-08-30,2018-10-01
100038,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Income Fund - Growth - Regular Plan,ISIN Div Payout/ ISIN Growth: INF209K01579,2018-10-03 11:01:08,2016-08-30,2018-10-01
100041,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Liquid Fund - Institutional Dividend,ISIN Div Reinvestment: INF209K01KN9,2018-10-03 11:01:00,2016-08-30,2018-10-02
100042,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Liquid Fund-Retail (Growth),ISIN Div Payout/ ISIN Growth: INF209K01ME4,2018-10-03 11:01:00,2016-08-30,2018-10-02
100043,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Liquid Fund-Institutional (Growth),ISIN Div Payout/ ISIN Growth: INF209K01RT1,2018-10-03 11:01:00,2016-08-30,2018-10-02
100044,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Liquid Fund-Retail (Dividend),ISIN Div Reinvestment: INF209K01KP4,2018-10-03 11:01:00,2016-08-30,2018-10-02
100046,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Liquid Fund - Daily Dividend,ISIN Div Payout/ ISIN Growth: INF209K01KQ2<br><br>ISIN Div Reinvestment: INF209K01SQ5,2018-10-03 11:01:00,2016-08-30,2018-10-02
100047,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Liquid Fund - Growth,ISIN Div Payout/ ISIN Growth: INF209K01RU9,2018-10-03 11:01:00,2016-08-30,2018-10-02
100048,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Liquid Fund-Institutional -  Weekly Dividend,ISIN Div Payout/ ISIN Growth: INF209K01KX8<br><br>ISIN Div Reinvestment: INF209K01KY6,2018-10-03 11:01:00,2016-08-30,2018-10-02
100049,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Cash Plus-Institutional - Fortnightly Dividend,This dataset has no description.,2017-12-06 20:01:29,2011-02-11,2011-02-11
100051,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Liquid Fund - Weekly Dividend,ISIN Div Payout/ ISIN Growth: INF209K01KU4<br><br>ISIN Div Reinvestment: INF209K01KV2,2018-10-03 11:01:00,2016-08-30,2018-10-02
100052,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Cash Plus-Institutional Premium - Fortnightly Dividend,This dataset has no description.,2017-12-06 20:01:29,2011-02-16,2011-02-16
100053,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Cash Plus-Institutional Premium Plan-Monthly Dividend,This dataset has no description.,2017-12-06 20:01:29,2011-02-15,2011-02-15
100054,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Gilt Plus - Liquid Plan - Quarterly Dividend - Regular Plan,ISIN Div Payout/ ISIN Growth: INF209K01AB5,2017-12-27 20:00:59,2015-12-11,2015-12-11
100055,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Gilt Plus - Liquid Plan - Growth - Regular Plan,ISIN Div Payout/ ISIN Growth: INF209K01AA7,2017-12-27 20:00:59,2015-12-11,2015-12-11
