Exchange,Stock,Stock_Name,Sector,Market_Cap,Weight_per
AX,14D,1414 Degrees Limited,Industrials,46942600,0.002
AX,1ST,1ST Group Limited,Health Care,6827180,0
AX,3PL,3P Learning Limited,Consumer Discretionary,175561000,0.008
AX,4DS,4DS Memory Limited,Information Technology,59524700,0.003
AX,5GN,5G Networks Limited,Telecommunication Services,16092300,0.001
AX,88E,88 Energy Limited,Energy,116995000,0.005
AX,8CO,8COMMON Limited,Information Technology,5854460,0
AX,8IH,8I Holdings Limited Chess Depositary Interests 1:1,Financials,47260400,0.002
AX,8EC,8IP Emerg Co Limited,,34865400,0.002
AX,9SP,9 Spokes Int Limited,Information Technology,9905420,0
AX,ACB,A-Cap Resources,Energy,50569300,0.002
AX,ABP,Abacus Property Group Units/ Stapled Securities,Real Estate,1977100000,0.093
AX,ABL,Abilene Oil & Gas,Energy,795229,0
AX,AEG,Absolute Equity Perf,,123036000,0.006
AX,ABT,Abundant Produce Limited,Consumer Staples,9883350,0
AX,ACS,Accent Resources NL,Materials,1448000,0
AX,ACQ,Acorn Cap INV Fund,,66152800,0.003
AX,ACF,Acrow Formwork,Industrials,94747100,0.004
AX,ACR,ACRUX Limited,Health Care,36634800,0.002
AX,ACW,Actinogen Medical,Health Care,55599900,0.003
AX,AIV,Activex Limited,Materials,31901100,0.001
AX,ADA,Adacel Technologies,Information Technology,135175000,0.006
AX,ADH,Adairs Limited,Consumer Discretionary,431274000,0.02
AX,1AD,Adalta Limited,Health Care,31453300,0.001
AX,ADD,Adavale Resource Limited,Energy,804430,0
AX,AAU,Adcorp Australia,Consumer Discretionary,1638270,0
AX,ABC,Adelaide Brighton,Materials,4020770000,0.188
AX,ADR,Adherium Limited,Health Care,14116200,0.001
AX,AHZ,Admedus Limited,Health Care,47640000,0.002
AX,ADY,Admiralty Resources,Materials,17311700,0.001
AX,ADT,Adriatic Metals Chess Depositary Interests 1:1,Materials,39135600,0.002
AX,ADJ,Adslot Limited,Information Technology,67116300,0.003
AX,ABV,ADV Braking Tech Limited,Consumer Discretionary,5930990,0
AX,ADX,ADX Energy Limited,Energy,13595700,0.001
AX,AER,Aeeris Limited,Information Technology,2946260,0
AX,AEI,Aeris Environmental,Industrials,25271300,0.001
AX,AIS,Aeris Resources Limited,Materials,56046500,0.003
AX,AEB,Affinity Energy,Energy,11176500,0.001
AX,AFR,African Energy Res Chess Depositary Interests 1:1,Energy,14413800,0.001
AX,AFT,AFT Corporation,Industrials,9020530,0
AX,AFP,Aft Pharmaceuticals Foreign Exempt NZX,Health Care,194616000,0.009
AX,AGL,AGL Energy Limited,Utilities,12788600000,0.599
AX,AGJ,Agricultural Land Ordinary Units FP,Real Estate,4387950,0
AX,AGR,Aguia Res Limited,Materials,20380000,0.001
AX,AHL,Ahalife Holdings Limited,Consumer Discretionary,10757800,0.001
AX,A1C,Aic Resources,Materials,10212800,0
AX,AGI,Ainsworth Game Tech,Consumer Discretionary,402341000,0.019
AX,ACL,Alchemia Limited,Health Care,2597790,0
AX,AHQ,Allegiance Coal Limited,Materials,28050200,0.001
AX,AGS,Alliance Resources,Materials,11472300,0.001
AX,AGE,Alligator Energy,Energy,2951530,0
AX,AIQ,Alternative Invest Ordinary Units FP,,11178400,0.001
AX,1AG,Alterra Limited,Industrials,6318400,0
AX,AGH,Althea Group,,78373200,0.004
AX,ABR,American Pacific,Materials,21017600,0.001
AX,AHR,Anchor Resources,Materials,682959,0
AX,ADN,Andromeda Metals Limited,Materials,5396810,0
AX,AAR,Anglo Australian,Materials,25111300,0.001
AX,AGG,Anglogold Ashanti Cdi 5:1 Foreign Exempt Jse,Materials,210530000,0.01
AX,AB1,Animoca Brands Corp,Information Technology,57206400,0.003
AX,ADO,Anteo Diagnostics,Health Care,13833100,0.001
AX,AHX,Apiam Animal Health,Health Care,67004100,0.003
AX,AD1,Applydirect Limited,Information Technology,7780490,0
AX,AAD,Ardent Leisure Group Ordinary/Units FP Stapled Securities,Consumer Discretionary,856275000,0.04
AX,ADV,Ardiden Limited,Materials,15091900,0.001
AX,AGY,Argosy Minerals Limited,Materials,235492000,0.011
AX,AHK,Ark Mines Limited,Materials,2702120,0
AX,AAJ,Aruma Resources Limited,Materials,4705380,0
AX,AHY,Asaleo Care Limited,Consumer Staples,393764000,0.018
AX,AFA,Asf Group Limited,Financials,108374000,0.005
AX,AIR,Astivita Limited,Industrials,3499410,0
AX,AHN,Athena Resources,Materials,2167610,0
AX,AGO,Atlas Iron Limited,Materials,413616000,0.019
AX,AIA,Auckland Internation Foreign Exempt NZX,Industrials,8033180000,0.376
AX,ACP,Audalia Res Limited,Materials,5329230,0
AX,AD8,Audinategroupltd,Information Technology,202151000,0.009
AX,AEE,Aura Energy,Energy,22529500,0.001
AX,ABW,Aurora Absolute Ordinary Units FP,,3006840,0
AX,AIB,Aurora GLB Trust Ordinary Units FP,Financials,1607090,0
AX,A3D,Aurora Labs Limited,Industrials,59061800,0.003
AX,AHF,Aus Dairy Farms Stapled Securities FP,Consumer Staples,34410900,0.002
AX,AC8,Auscann Group HLGS Limited,Health Care,175501000,0.008
AX,ABX,Aust Bauxite Limited,Materials,16786200,0.001
AX,ACO,Aust Careers Network,Consumer Discretionary,287258000,0.013
AX,AFG,Aust Finance Group,Financials,321145000,0.015
AX,AGD,Austral Gold,Materials,37392100,0.002
AX,AAP,Australian Agri Limited,Consumer Staples,3961320,0
AX,AAC,Australian Agricult,Consumer Staples,774555000,0.036
AX,AEF,Australian Ethical,Financials,172623000,0.008
AX,AFI,Australian Foundat,,7438260000,0.348
AX,AGM,Australiangovernance Ordinary Units FP,,44291600,0.002
AX,ABA,Auswide Bank Limited,Financials,232129000,0.011
AX,AHG,Automotive Holdings,Consumer Discretionary,732887000,0.034
AX,AEV,Avenira Limited,Materials,15294500,0.001
AX,A200,BETAAUSTRALIA200ETF ETF Units FP,,162722000,0.008
AX,AAA,Betasharescashetf ETF Units FP,,1241830000,0.058
AX,ACDC,ETFs Batt Tech Lith ETF Units FP,,1026200,0
AX,4CE,Force Com Limited,Materials,15261000,0.001
AX,1AL,Oneall International Limited,Consumer Discretionary,125775000,0.006
AX,3DP,Pointerra Limited,Information Technology,18272200,0.001
AX,A2M,The a2 Milk Company,Consumer Staples,7508960000,0.352
AX,AIY,Authorised Invest,,9744660,0
AX,AIZ,Air New Zealand Foreign Exempt NZX,Industrials,3132740000,0.147
AX,AJC,Acacia Coal Limited,Energy,2024450,0
AX,AJD,Asia Pacific Data Stapled Securities,Real Estate,207575000,0.01
AX,AJJ,Asian Amer Medical,Health Care,40530300,0.002
AX,AJL,AJ Lucas Group,Industrials,277536000,0.013
AX,AJM,Altura Mining Limited,Materials,427669000,0.02
AX,AJQ,Armour Energy Limited,Energy,44150900,0.002
AX,AJX,Alexium Int Group,Materials,46634900,0.002
AX,AJY,Asaplus Resources Chess Depositary Interests 1:1,Materials,13600000,0.001
AX,AKF,Ask Funding Limited,Financials,4115790,0
AX,AKG,Academies Aus Group,Consumer Discretionary,53598100,0.003
AX,AKM,Aspire Mining Limited,Materials,62591200,0.003
AX,AKN,Auking Mining Limited,Materials,1865170,0
AX,AKP,Audio Pixels Limited,Consumer Discretionary,334823000,0.016
AX,AL8,Alderan Resource Limited,Materials,23337400,0.001
AX,ALC,Alcidion Group Limited,Health Care,37866500,0.002
AX,ALF,Australian Leaders,Financials,286150000,0.013
AX,ALI,Argo Global Limited,Financials,273124000,0.013
AX,ALK,Alkane Resources Limited,Materials,121463000,0.006
AX,ALL,Aristocrat Leisure,Consumer Discretionary,18160200000,0.851
AX,ALQ,Als Limited,Industrials,4384590000,0.205
AX,ALT,Analytica Limited,Health Care,20022100,0.001
AX,ALU,Altium Limited,Information Technology,3564660000,0.167
AX,ALX,Atlas Arteria Ordinary Stapled Securities,Industrials,4769190000,0.223
AX,ALY,Alchemy Resource Limited,Materials,7046710,0
AX,AMA,AMA Group Limited,Consumer Discretionary,585728000,0.027
AX,AMB,Ambition Group Limited,Industrials,7745050,0
AX,AMC,Amcor Limited,Materials,15843400000,0.742
AX,AMD,Arrow Minerals,Materials,5805270,0
AX,AME,Alto Metals Limited,Materials,8972560,0
AX,AMG,Ausmex Mining GP Limited,Materials,10881600,0.001
AX,AMH,Amcil Limited,Financials,247179000,0.012
AX,AMI,Aurelia Metals Limited,Materials,632092000,0.03
AX,AML,Aeon Metals Limited,Materials,219739000,0.01
AX,AMN,Agrimin Limited,Materials,133998000,0.006
AX,AMO,Ambertech Limited,Information Technology,5656040,0
AX,AMP,AMP Limited,Financials,9309920000,0.436
AX,AMT,Allegra Orthopaedics,Health Care,20907400,0.001
AX,ANG,Austin Engineering,Industrials,133132000,0.006
AX,ANL,Amani Gold Limited,Materials,11280700,0.001
AX,ANN,Ansell Limited,Health Care,3594440000,0.168
AX,ANO,Advance Nanotek Limited,Materials,52803100,0.002
AX,ANP,Antisense Therapeut,Health Care,6689140,0
AX,ANQ,Anaeco Limited,Industrials,7976900,0
AX,ANR,Anatara LS Limited,Health Care,24212500,0.001
AX,ANS,Austsino Res Group Limited,Materials,86269100,0.004
AX,ANW,Aus Tin Mining,Materials,45497900,0.002
AX,ANZ,ANZ Banking Group Limited,Financials,80978600000,3.793
AX,AO1,Assetowl Limited,Information Technology,1981610,0
AX,AOA,Ausmon Resorces,Materials,2983520,0
AX,AOD,Aurora DIV Income Managed Fund Units,,6332740,0
AX,AOF,Australian Unity Off Ordinary Units FP,Real Estate,431505000,0.02
AX,AOG,Aveo Group Ordinary/Units FP Stapled Securities,Real Estate,1173290000,0.055
AX,AOK,Austex Oil Limited,Energy,9584960,0
AX,AON,Apollo Minerals Limited,Materials,36960300,0.002
AX,AOP,Apollo Consolidated,Materials,32939500,0.002
AX,AOU,Auroch Minerals Limited,Materials,11356700,0.001
AX,AOW,American Patriot Oil,Energy,10999100,0.001
AX,APA,APA Group Units FP Stapled Securities,Utilities,11775300000,0.552
AX,APC,Aust Potash Limited,Materials,21660200,0.001
AX,APD,Apn Property Group,Financials,141184000,0.007
